Title,Original,Generated
Zombie Reanimation,You cant kill what is dead,You can't control the dead.
How to Succeed in Business Without Really Trying,"Nothing Succeeds Like ""Succeed"" ! !",You can't win if you don't know what you're in for.
Picasso and Braque Go to the Movies,"A movie about Picasso, Braque, cubism & early cinema",The story of the man who created the greatest motion picture of all time.
Empire of the Sun,"To survive in a world at war, he must find a strength greater than all the events that surround him.",The story of a boy who risked everything to become a hero.
Maverick,"In their hands, a deck of cards was the only thing more dangerous than a gun.",It's a game of life and death.
Modern Romance,Robert was madly in love with Mary. Mary was madly in love with him. Under the circumstances they did the only thing they could do... they broke up.,"A comedy about love, sex, and death."
Hamlet,The extraordinary adaptation of Shakespeare's classic tale of vengeance and tragedy.,Revenge is the only way out.
Dennis the Menace,He's armed... He's adorable... And he's out of school for the entire summer.,The funniest movie of the year!
The Baby Maker,The beauty of creating life. The freedom to give it away...,She gave up her baby for adoption.
Angels in the Outfield,"The toughest guy you ever met ... until an angel said ""Hello!""",The story of one of the greatest teams in baseball history.
Halloween,Evil. Unmasked.,There's only one way out.
The Private Lives of Pippa Lee,She lived many lives - except her own.,The story of a man and a woman who love one another.
Murder 3,This Valentine... Love will be murdered,A love story that will change your life forever.
Gothic & Lolita Psycho,Revenge is sweet,Evil has a name.
Bullet to the Head,Revenge Never Gets Old.,A cop who lost his partner.
"Life, Animated","When he fell into silence, movies gave him back his voice",The story of a boy who became an animated boy.
The Ewok Adventure,You'll live the adventure... You'll love it's heroes.,They're back!
Musicwood,"For hundreds of years guitars have been made the same way, but now this could all change.",The story of one man's quest to save a legendary guitar.
The Brand New Testament,God Exists. He Lives in Brussels with his teenage daughter.,God is not a man.
Kong: Skull Island,All hail the king,The King of the Apes is Back!
Made in Dagenham,"In the fight for equal rights, an ordinary woman achieves something extraordinary.",The story of the strike that changed the face of America.
Salt and Fire,Sometimes redemption is out of reach,A volcano is about to erupt.
The Cobweb,The Story of the Strange Mansion on the Hill,It's all about the patients.
Drums Along the Mohawk,Red-Blooded DRAMA !,The adventure of a lifetime.
Falling Down,A Tale Of Urban Reality,Sometimes you have to break the rules to get what you want.
Three Wishes,"If you really believe, magic will find you",The story of a boy who fell in love with a girl who fell out of love with him.
The Man from the Future,Nothing will be like before.,The future is here.
End of Days,Prepare for the end.,The Devil is back!
Smile,Celebrate the Incredible Strength of Humanity.,The Doctor's gift program is back.
Tell No One,Mattia is about to leave and decided to travel light.,The truth is always stranger than fiction.
The Big Store,Gorgeous Girls! Uproarious Fun! The Big Musical Show!,It's not a movie.
Iron Man,He's all man in the ring -- or anywhere!,It's not about the money.
Cast a Giant Shadow,Outnumbered - unarmed - unprepared - they stunned the world with their incredible victory!,The battle for the heart of the land is on.
Badman's Country,Warner's Big Six-Gun Saga!,They're going to get it.
American Me,In prison they are the law. On the streets they are the power.,The story of a man who changed the face of crime forever.
Love & Other Drugs,Addicted to one-night stands or dependent on one another?,It's not just a drug.
Abduction,They stole his life. He's taking it back.,The truth is stranger than fiction.
Jimi Plays Monterey,Jimi Plays Monterey,The most electrifying live performance ever made.
London,One young man's incredible journey of self-discovery,It's not a party.
The Open Road,They've got a long way to go,Sometimes the only way out is to find your father.
Practical Magic,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",It's not witchcraft.
The Big Circus,No one seated during the last 10 minutes so you will completely enjoy the surprise ending! P.S. And please do not reveal the identity of the villain!,The world's most dangerous circus is back!
The Last Samurai,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The story of a man who fought for the right to live.
Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.,It's not murder.
The Day the Earth Caught Fire,The INCREDIBLE becomes Real! The IMPOSSIBLE becomes Fact! The UNBELIEVABLE becomes True!,The world is about to be destroyed.
Urge,Every high has its price,You can't control your urges.
Smashing Pumpkins: If All Goes Wrong,Who would you believe,They're Back
Nancy Drew,Small Town Girl. Big Time Adventure.,It's not just a movie.
Playing Cards,Early Méliès short made up of footage of he and some friends playing cards.,The funniest movie you'll ever see!
Bad Boys,A True Story,Four brothers.
Two Night Stand,Before love. After sex.,Sometimes you just have to find the right person.
In the Heart of the Sea,Based on the incredible true story that inspired Moby Dick,The true story of a man who risked everything to save the world.
Solar Attack,Prepare for the Apocalypse...,It's not just a matter of time.
The True Cost,Who Pays the Price for Our Clothing?,The true cost of fashion
Moonlight & Mistletoe,A little town. A little romance. A little miracle.,Christmas is coming to town.
The Wind Journeys,A musician travels a great distance to return an instrument to his elderly teacher,The story of a man and a donkey.
Falling Overnight,On the day before he could lose everything,Every day is a journey.
The War Between Men and Women,"Any man who hates dogs, women and children can't be all bad!","A comedy about love, friendship, and love itself."
Picnic at Hanging Rock,On St. Valentine's Day in 1900 a party of schoolgirls set out to picnic at Hanging Rock ... Some were never to return.,There's no such thing as a picnic without a picnic.
Take Care,Love Accidentally,Sometimes you just have to find the right person.
What Is It?,"The adventures of a young man whose principle interests are snails, salt, a pipe, and how to get home. As tormented by a hubristic, racist inner psyche.",What is it?
Snow Dogs,Get ready for mush hour!,It's not a game.
Hot Shots!,The mother of all movies.,The funniest movie of the year!
"Same Time, Next Year",They couldn't have celebrated happier anniversaries if they were married to each other.,Sometimes you just have to wait.
Drift,Two Brothers. One Dream. No Rules.,It's not about the money.
Alice Adams,Twenty-two and wonderful ... as Booth Tarkington's loveliest heroine!,It's not just a movie.
Support Your Local Sheriff,Bad Men... Bad Ladies... Bad Horses... OUt trouble-shooting sheriff always put his finger on it (or in it). No wonder they call him the FASTEST FINGER IN THE WEST,He's the sheriff of a small town.
The Meteor Man,Get meteorized.  Take a stand.,The greatest adventure of all time!
Sweet Alibis,"A tale of murder, greed, revenge, love and chocolate!","The story of a cop, a girl and a dog."
Snowtime!,"War, war, it's not a reason to hurt each other!",It's not just a snowball fight.
Nickelodeon,Dreams. 5 cents.,"A comedy about love, sex, and love at the same time."
Rush,Everyone's driven by something.,The story of one man's passion for the sport.
Beyond the Gates of Splendor,"In 1956, two worlds collided, beginning a journey beyond fear, beyond violence, beyond forgiveness.",Beyond The Gates
Sextette,The sin-sational Mae West,"A comedy about love, sex and money."
After Porn Ends,Can they really live a normal life after porn?,They're Back
Brexit: The Movie,"Exposing the EU racket & making the case for a prosperous, independent Britain.",Leave the EU
The Master of Ballantrae,The Thundering Crusaders of the White Cockade!,The Swashbuckler is Back!
The Great Escape,Put a fence in front of these men... and they'll climb it!,A true story.
Genius Party,7 Impacts by 7 Directors,Welcome to the future
Huckleberry Finn,The Greatest Of All American Adventure Stories.,"A tale of love, adventure and adventure."
Carry On Camping,Fun and games in the great outdoors!,The funniest party of the summer!
Spider-Man 3,The battle within.,The greatest hero of all time is back!
"Bodies, Rest & Motion",Nick is leaving. Beth is staying. Carol is waiting. Sid is painting.,A love story that will change your life forever.
Step Up 3D,Two Worlds. One Dream.,It's about to get a little hairy.
Casual Sex?,Stacy and Melissa are in search for the world's most endangered species... The Perfect Man.,Sometimes you just have to find the right man.
Nocturna,"To live forever, first you must die",You can't escape the past.
Very Annie Mary,"One can dream, can't one?","A story of love, courage, and redemption."
It Started With A Kiss,It started with a kiss... and ended like this in romantic Spain!,The funniest comedy of the year!
Twelve Plus One,"Sharon Tate, in her last movie, finally released to the public!!",It's not just a game.
Lizzie,Which girl was she?,She's the most beautiful woman in the world.
Maria Full of Grace,"Based on 10,000 true stories.",It's not just a drug.
Pets,There's an Animal in Every Woman,She's got a lot on her mind.
The Hunger Games: Catching Fire,Every revolution begins with a spark.,The Hunger Games will never be the same again.
